Product Group Level 4;Product Name;Store;Product;Quantity;Quantity Unit;Quantity Base
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Black;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010193;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Black;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010193;3;pcs;3
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Black;1411 PLOVDIV KIKA GRUP MANOLE;31001010193;5;pcs;5
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Dark Grey;1419 ZA UTOChNENIE;31001010194;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Dark Grey;1423 OUTLET;31001010194;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Dark Grey;1406 PLOVDIV KIKA GRUP;31001010194;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Dark Grey;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010194;3;pcs;3
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Dark Grey;1410 PLOVDIV KIKA GRUP TRUD;31001010194;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Dark Grey;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010194;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Light Grey;1419 ZA UTOChNENIE;31001010195;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Light Grey;1406 PLOVDIV KIKA GRUP;31001010195;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Light Grey;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010195;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Light Grey;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010195;2;pcs;2
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Mint;1419 ZA UTOChNENIE;31001010197;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Mint;1423 OUTLET;31001010197;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Mint;1406 PLOVDIV KIKA GRUP;31001010197;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Mint;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010197;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Mint;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010197;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 2in1 with carrycot Tiffany Mint;1411 PLOVDIV KIKA GRUP MANOLE;31001010197;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Beige;1406 PLOVDIV KIKA GRUP;31001010006;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Beige;1413 PLOVDIV KIKA GRUP MOSTRI;31001010006;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Beige;1414 PLOVDIV KIKA GRUP TRANZITEN;31001010006;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Beige;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010006;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Beige;1407 Kikka Group Spare parts;31001010006;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Beige;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010006;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Beige;1410 PLOVDIV KIKA GRUP TRUD;31001010006;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Beige;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010006;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Beige;1411 PLOVDIV KIKA GRUP MANOLE;31001010006;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Beige black frame 2020;1414 PLOVDIV KIKA GRUP TRANZITEN;31001010168;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Beige gold chrome 2020;1414 PLOVDIV KIKA GRUP TRANZITEN;31001010167;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Black gold chrome;1406 PLOVDIV KIKA GRUP;31001010139;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Black gold chrome;1413 PLOVDIV KIKA GRUP MOSTRI;31001010139;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Stroller 3 in 1 Allure Black gold chrome;1414 PLOVDIV KIKA GRUP TRANZITEN;31001010139;0;pcs;0
